2010,2011,2012,2013,2014,2015,average,Average 2010-2015,Stop ID,Stop Name,
10819466,11163007,11109431,11167386,11454604,11014861,11121459.17,"11,121,459.17",627,77 St,
10165641,10481234,10373302,10520477,10545971,10237854,10387413.17,"10,387,413.17",628,68 St - Hunter College,
9090245,9220240,9374676,9756409,9798598,9701723,9490315.167,"9,490,315.17",632,33 St,
6621732,6741400,6688570,7076992,7107083,7214293,6908345,"6,908,345.00",633,28 St,
8925824,8999142,8901705,9200337,9033835,8627481,8948054,"8,948,054.00",634,23 St,
5623822,5571077,5535996,5775276,5751688,5447655,5617585.667,"5,617,585.67",636,Astor Pl,
3727534,3887184,3999949,4123703,4169799,3804403,3952095.333,"3,952,095.33",638,Spring St,
18630490,18967751,19034789,19102434,19085948,19082391,18983967.17,"18,983,967.17",701,Flushing - Main St,
1856485,1729243,1693024,1902121,1875472,2120859,1862867.333,"1,862,867.33",702,Mets - Willets Point,
3457250,3494533,3473313,3607926,3659225,3699843,3565348.333,"3,565,348.33",705,111 St,
5831332,6095306,6130376,6314870,6464627,6527196,6227284.5,"6,227,284.50",706,103 St - Corona Plaza,
7140456,6963489,6784942,6816700,6946966,7064435,6952831.333,"6,952,831.33",707,Junction Blvd,
5482132,5480782,5428872,5513135,5480059,5489630,5479101.667,"5,479,101.67",708,90 St - Elmhurst Av,
1696216,1649055,1647057,1671584,1685222,1629526,1663110,"1,663,110.00",709,82 St - Jackson Hts,
1696216,1649055,1647057,1671584,1685222,1629526,1663110,"1,663,110.00",711,69 St,
5394103,5382589,5273308,5330760,5356621,5432682,5361677.167,"5,361,677.17",712,Woodside - 61 St,
2080234,2117202,2138307,2182725,2214115,2177884,2151744.5,"2,151,744.50",713,52 St,
4704924,4683092,4638262,4734334,4695672,4593351,4674939.167,"4,674,939.17",714,46 St,
3370172,3378636,3393418,3483507,3496675,3421569,3423996.167,"3,423,996.17",715,40 St,
3729133,3707015,3752701,3899003,3892589,3712153,3782099,"3,782,099.00",716,33 St,
1623490,1655252,1704114,1710103,1791109,1848769,1722139.5,"1,722,139.50",720,Hunters Point Av,
3110952,3170128,3357030,3726974,4169876,4462652,3666268.667,"3,666,268.67",721,Vernon Blvd - Jackson Av,
0,0,0,0,0,692165,115360.8333,"115,360.83",726,34 St - 11 Av,
7325739,7500154,7503282,7884456,8090476,8009233,7718890,"7,718,890.00",112-A09,168 St - Washington Hts / 168 St,
20711058,21300892,21599586,22774421,23566961,23299666,22208764,"22,208,764.00",125-A24,59 St - Columbus Circle / 59 St - Columbus Circle,
8807719,9073709,8123655,6192660,7116897,8750364,8010834,"8,010,834.00",140-R27,South Ferry Loop / Whitehall St,
3979328,4169699,4104847,4427399,4536888,4424754,4273819.167,"4,273,819.17",222-415,149 St - Grand Concourse / 149 St - Grand Concourse,
18303963,17971983,17868334,18721694,20102397,21671684,19106675.83,"19,106,675.83",229-418-A38-M22,Fulton St / Fulton St / Fulton St / Fulton St,
4433981,4712492,4934593,5125782,5377967,5100038,4947475.5,"4,947,475.50",239-S04,Franklin Av / Botanic Garden,
8434247,8605893,8831015,8766012,8961029,8922188,8753397.333,"8,753,397.33",414-D11,161 St - Yankee Stadium / 161 St - Yankee Stadium,
19553597,20377141,20628942,21282767,21557198,21407792,20801239.5,"20,801,239.50",629-R11,59 St / Lexington Av/59 St,
18025148,18948032,19280036,20262110,20513370,20479923,19584769.83,"19,584,769.83",630-F11,51 St / Lexington Av/53 St,
11062580,11651990,11792114,12560629,12913327,12666868,12107918,"12,107,918.00",637-D21,Bleecker St / Broadway-Lafayette St,
16007057,15577018,15529659,15227139,15104077,15094135,15423180.83,"15,423,180.83",639-M20-Q01-R23,Canal St / Canal St / Canal St / Canal St,
10783128,10681037,10650508,10721984,10938927,10481576,10709526.67,"10,709,526.67",640-M21,Brooklyn Bridge - City Hall / Chambers St,
16279556,16377496,16366669,16864938,17087795,17224537,16700165.17,"16,700,165.17",710-G14,74 St - Broadway / Jackson Hts - Roosevelt Av,
2813789,3047146,3350219,3569290,3785260,3773168,3389812,"3,389,812.00",718-R09,Queensboro Plaza / Queensboro Plaza,
13979224,14752187,14917245,15527439,15896805,16220605,15215584.17,"15,215,584.17",724-D16,5 Av / 42 St - Bryant Pk,
41903210,42795505,42984249,44893301,46074652,46737564,44231413.5,"44,231,413.50",901-631-723,Grand Central - 42 St / Grand Central - 42 St / Grand Central - 42 St,
58422597,60604822,62069437,63617614,65948730,66359208,62837068,"62,837,068.00",902-A27-R16-127-725,Times Sq - 42 St / 42 St - Port Authority Bus Terminal / Times Sq - 42 St / Times Sq - 42 St / Times Sq - 42 St,
2747423,3079573,2795992,2897438,2981271,3068931,2928438,"2,928,438.00",A02,Inwood - 207 St,
1931287,2326780,2344316,2112706,2158170,2244154,2186235.5,"2,186,235.50",A03,Dyckman St,
1287568,1445656,1473807,1472564,1458911,1530460,1444827.667,"1,444,827.67",A05,190 St,
3106184,3245786,3242555,3309493,3456161,3628174,3331392.167,"3,331,392.17",A06,181 St,
3783719,4029936,4028015,4154792,4187473,4197373,4063551.333,"4,063,551.33",A07,175 St,
1193933,1221336,1230018,1317493,1390615,1395260,1291442.5,"1,291,442.50",A10,163 St - Amsterdam Av,
735801,792465,798881,822333,852716,842826,807503.6667,"807,503.67",A11,155 St,
6694537,6948193,7048936,7432177,7778992,7923696,7304421.833,"7,304,421.83",A12-D13,145 St / 145 St,
1511387,1575802,1633467,1722204,1731602,1693561,1644670.5,"1,644,670.50",A14,135 St,
8003946,8173608,8427453,8932680,9342667,9558837,8739865.167,"8,739,865.17",A15,125 St,
1921860,1944599,2000033,2122084,2234662,2246138,2078229.333,"2,078,229.33",A16,116 St,
2159675,2166542,2207790,2301545,2351549,2376166,2260544.5,"2,260,544.50",A17,Cathedral Pkwy (110 St),
1556919,1453267,1472319,1528633,1555514,1521132,1514630.667,"1,514,630.67",A18,103 St,
2731945,2775904,2829949,2979535,3089701,3084906,2915323.333,"2,915,323.33",A19,96 St,
3204204,3238616,3300644,3408922,3515551,3474343,3357046.667,"3,357,046.67",A20,86 St,
4063020,4116976,4232404,4477625,4561347,4584041,4339235.5,"4,339,235.50",A21,81 St - Museum of Natural History,
2760109,2787379,2832934,2942517,3015722,2979236,2886316.167,"2,886,316.17",A22,72 St,
